Consumer Price Index item,Month of forecast,Year of forecast,Year being forecast,Attribute,Forecast percent change
All food,1,2003,2003,Lower bound of forecast range,1
All food,1,2003,2003,Upper bound of forecast range,2
All food,2,2003,2003,Lower bound of forecast range,1
All food,2,2003,2003,Upper bound of forecast range,2
All food,3,2003,2003,Lower bound of forecast range,1
All food,3,2003,2003,Upper bound of forecast range,2
All food,4,2003,2003,Lower bound of forecast range,1
All food,4,2003,2003,Upper bound of forecast range,2
All food,5,2003,2003,Lower bound of forecast range,1
All food,5,2003,2003,Upper bound of forecast range,2
All food,6,2003,2003,Lower bound of forecast range,1.5
All food,6,2003,2003,Upper bound of forecast range,2.5
All food,7,2003,2003,Lower bound of forecast range,1.5
All food,7,2003,2003,Upper bound of forecast range,2.5
All food,8,2003,2003,Lower bound of forecast range,1.5
All food,8,2003,2003,Upper bound of forecast range,2.5
All food,9,2003,2003,Lower bound of forecast range,1.5
All food,9,2003,2003,Upper bound of forecast range,2.5
All food,10,2003,2003,Lower bound of forecast range,1.5
All food,10,2003,2003,Upper bound of forecast range,2.5
All food,11,2003,2003,Lower bound of forecast range,1.5
All food,11,2003,2003,Upper bound of forecast range,2.5
All food,12,2003,2003,Lower bound of forecast range,1.5
All food,12,2003,2003,Upper bound of forecast range,2.5
Food away from home,1,2003,2003,Lower bound of forecast range,2
Food away from home,1,2003,2003,Upper bound of forecast range,2.5
Food away from home,2,2003,2003,Lower bound of forecast range,2
Food away from home,2,2003,2003,Upper bound of forecast range,2.5
Food away from home,3,2003,2003,Lower bound of forecast range,2
Food away from home,3,2003,2003,Upper bound of forecast range,2.5
Food away from home,4,2003,2003,Lower bound of forecast range,2
Food away from home,4,2003,2003,Upper bound of forecast range,2.5
Food away from home,5,2003,2003,Lower bound of forecast range,2
Food away from home,5,2003,2003,Upper bound of forecast range,2.5
Food away from home,6,2003,2003,Lower bound of forecast range,2
Food away from home,6,2003,2003,Upper bound of forecast range,2.5
Food away from home,7,2003,2003,Lower bound of forecast range,2
Food away from home,7,2003,2003,Upper bound of forecast range,2.5
Food away from home,8,2003,2003,Lower bound of forecast range,2
Food away from home,8,2003,2003,Upper bound of forecast range,2.5
Food away from home,9,2003,2003,Lower bound of forecast range,2
Food away from home,9,2003,2003,Upper bound of forecast range,2.5
Food away from home,10,2003,2003,Lower bound of forecast range,2
Food away from home,10,2003,2003,Upper bound of forecast range,2.5
Food away from home,11,2003,2003,Lower bound of forecast range,2
Food away from home,11,2003,2003,Upper bound of forecast range,2.5
Food away from home,12,2003,2003,Lower bound of forecast range,2
Food away from home,12,2003,2003,Upper bound of forecast range,2.5
